Station Name,Grid Coordinates,Coordinates
BOX,"[98, 47]","[[[-70.4283027, 41.6423206], [-70.4283027, 41.62084], [-70.3995628, 41.62084], [-70.3995628, 41.6423206], [-70.4283027, 41.6423206]]]"
BOX,"[100, 48]","[[[-70.3655586, 41.6559028], [-70.3655586, 41.6344337], [-70.3368186, 41.6344337], [-70.3368186, 41.6559028], [-70.3655586, 41.6559028]]]"
BOX,"[101, 48]","[[[-70.3368225, 41.6519546], [-70.3368225, 41.630485500000006], [-70.3080902, 41.630485500000006], [-70.3080902, 41.6519546], [-70.3368225, 41.6519546]]]"
BOX,"[102, 48]","[[[-70.3080863, 41.6480083], [-70.3080863, 41.6265354], [-70.2793464, 41.6265354], [-70.2793464, 41.6480083], [-70.3080863, 41.6480083]]]"
BOX,"[105, 49]","[[[-70.216587, 41.6575851], [-70.216587, 41.636116], [-70.1878471, 41.636116], [-70.1878471, 41.6575851], [-70.216587, 41.6575851]]]"
BOX,"[113, 50]","[[[-69.9814414, 41.6471214], [-69.9814414, 41.6256599], [-69.952732, 41.6256599], [-69.952732, 41.6471214], [-69.9814414, 41.6471214]]]"
BOX,"[114, 50]","[[[-69.9527282, 41.6431121], [-69.9527282, 41.6216506], [-69.9240112, 41.6216506], [-69.9240112, 41.6431121], [-69.9527282, 41.6431121]]]"
BOX,"[120, 51]","[[[-69.7750663, 41.6404113], [-69.7750663, 41.618949799999996], [-69.74635690000001, 41.618949799999996], [-69.74635690000001, 41.6404113], [-69.7750663, 41.6404113]]]"
BOX,"[122, 52]","[[[-69.7122383, 41.6537647], [-69.7122383, 41.6323146], [-69.6835289, 41.6323146], [-69.6835289, 41.6537647], [-69.7122383, 41.6537647]]]"
BOX,"[123, 52]","[[[-69.683525, 41.6497173], [-69.683525, 41.6282596], [-69.654808, 41.6282596], [-69.654808, 41.6497173], [-69.683525, 41.6497173]]]"
BOX,"[126, 53]","[[[-69.5919647, 41.6589756], [-69.5919647, 41.637525499999995], [-69.56324760000001, 41.637525499999995], [-69.56324760000001, 41.6589756], [-69.5919647, 41.6589756]]]"
BOX,"[128, 53]","[[[-69.5345497, 41.6508235], [-69.5345497, 41.6293735], [-69.5058555, 41.6293735], [-69.5058555, 41.6508235], [-69.5345497, 41.6508235]]]"
BOX,"[12, 33]","[[[-72.9739532, 41.6624813], [-72.9739532, 41.640939700000004], [-72.9451141, 41.640939700000004], [-72.9451141, 41.6624813], [-72.9739532, 41.6624813]]]"
BOX,"[15, 34]","[[[-72.8827133, 41.6734142], [-72.8827133, 41.651865], [-72.8538742, 41.651865], [-72.8538742, 41.6734142], [-72.8827133, 41.6734142]]]"
BOX,"[20, 35]","[[[-72.733776, 41.6771526], [-72.733776, 41.655611], [-72.7049446, 41.655611], [-72.7049446, 41.6771526], [-72.733776, 41.6771526]]]"
BOX,"[21, 35]","[[[-72.7049484, 41.6735649], [-72.7049484, 41.6520347], [-72.6761245, 41.6520347], [-72.6761245, 41.6735649], [-72.7049484, 41.6735649]]]"
BOX,"[22, 35]","[[[-72.6761245, 41.6699981], [-72.6761245, 41.6484603], [-72.6473007, 41.6484603], [-72.6473007, 41.6699981], [-72.6761245, 41.6699981]]]"
BOX,"[23, 35]","[[[-72.6472969, 41.6664085], [-72.6472969, 41.644870700000006], [-72.6184654, 41.644870700000006], [-72.6184654, 41.6664085], [-72.6472969, 41.6664085]]]"
BOX,"[24, 35]","[[[-72.6184692, 41.662815], [-72.6184692, 41.6412849], [-72.5896453, 41.6412849], [-72.5896453, 41.662815], [-72.6184692, 41.662815]]]"
BOX,"[25, 35]","[[[-72.5896492, 41.6592311], [-72.5896492, 41.6376895], [-72.5608329, 41.6376895], [-72.5608329, 41.6592311], [-72.5896492, 41.6592311]]]"
