Station Name,Grid Coordinates,Coordinates
CAR,"[116, 33]","[[[-67.6615909, 44.0120183], [-67.6675827, 43.9909327], [-67.6382653, 43.9866193], [-67.6322675, 44.007704600000004], [-67.6615909, 44.0120183]]]"
CAR,"[119, 34]","[[[-67.5676452, 44.0201551], [-67.5736589, 43.9990696], [-67.54435459999999, 43.9947434], [-67.53833479999999, 44.0158286], [-67.5676452, 44.0201551]]]"
CAR,"[120, 34]","[[[-67.5383319, 44.0158282], [-67.5443518, 43.994743], [-67.51504440000001, 43.9904113], [-67.50901850000001, 44.011496199999996], [-67.5383319, 44.0158282]]]"
CAR,"[122, 34]","[[[-67.4797147, 44.0071606], [-67.4857467, 43.986076], [-67.4564474, 43.9817354], [-67.4504093, 44.002819599999995], [-67.4797147, 44.0071606]]]"
CAR,"[124, 35]","[[[-67.4150628, 44.0195394], [-67.4211066, 43.9984687], [-67.3918092, 43.994118799999995], [-67.3857594, 44.01518909999999], [-67.4150628, 44.0195394]]]"
CAR,"[125, 35]","[[[-67.385758, 44.0151889], [-67.3918078, 43.9941186], [-67.3625103, 43.9897636], [-67.3564543, 44.010833600000005], [-67.385758, 44.0151889]]]"
CAR,"[87, 28]","[[[-68.541862, 44.0295375], [-68.5476655, 44.008422700000004], [-68.51831589999999, 44.00424830000001], [-68.51250619999999, 44.02536280000001], [-68.541862, 44.0295375]]]"
CAR,"[91, 29]","[[[-68.4186192, 44.0339109], [-68.424448, 44.0128067], [-68.3951051, 44.0086137], [-68.38927029999999, 44.0297176], [-68.4186192, 44.0339109]]]"
CAR,"[92, 29]","[[[-68.3892689, 44.0297174], [-68.3951037, 44.0086135], [-68.3657606, 44.0044154], [-68.3599196, 44.025519], [-68.3892689, 44.0297174]]]"
CAR,"[93, 29]","[[[-68.3599126, 44.025518], [-68.3657536, 44.0044144], [-68.3363989, 44.000209600000005], [-68.33055180000001, 44.021312900000005], [-68.3599126, 44.025518]]]"
CAR,"[96, 30]","[[[-68.2660155, 44.0339938], [-68.2718773, 44.0128943], [-68.242541, 44.0086775], [-68.2366731, 44.0297767], [-68.2660155, 44.0339938]]]"
CAR,"[97, 30]","[[[-68.2366675, 44.0297759], [-68.2425354, 44.008676699999995], [-68.21319039999999, 44.00445369999999], [-68.20731639999998, 44.02555259999999], [-68.2366675, 44.0297759]]]"
CAR,"[100, 31]","[[[-68.1427508, 44.0382021], [-68.14864180000001, 44.0170989], [-68.1193068, 44.0128626], [-68.1134097, 44.0339655], [-68.1427508, 44.0382021]]]"
CAR,"[101, 31]","[[[-68.1134083, 44.0339653], [-68.1193054, 44.012862399999996], [-68.0899701, 44.0086211], [-68.084067, 44.0297237], [-68.1134083, 44.0339653]]]"
CAR,"[103, 31]","[[[-68.054731, 44.0254778], [-68.06064020000001, 44.004375599999996], [-68.03130440000001, 44.000124099999994], [-68.02538910000001, 44.02122599999999], [-68.054731, 44.0254778]]]"
CAR,"[104, 32]","[[[-68.0194782, 44.04231], [-68.02539329999999, 44.0212213], [-67.9960596, 44.0169657], [-67.99013839999999, 44.038054], [-68.0194782, 44.04231]]]"
CAR,"[105, 32]","[[[-67.9901413, 44.0380544], [-67.9960624, 44.0169661], [-67.9667369, 44.0127065], [-67.9608097, 44.0337945], [-67.9901413, 44.0380544]]]"
CAR,"[109, 33]","[[[-67.8668622, 44.0420741], [-67.8728114, 44.0209862], [-67.8434873, 44.016707200000006], [-67.83753200000001, 44.03779480000001], [-67.8668622, 44.0420741]]]"
CAR,"[112, 33]","[[[-67.7788709, 44.0292208], [-67.7848383, 44.0081339], [-67.7555219, 44.0038408], [-67.74954840000001, 44.024927399999996], [-67.7788709, 44.0292208]]]"
CAR,"[113, 33]","[[[-67.749547, 44.0249272], [-67.7555205, 44.003840600000004], [-67.7262039, 43.999542500000004], [-67.7202243, 44.0206287], [-67.749547, 44.0249272]]]"
CAR,"[114, 34]","[[[-67.7142432, 44.0417184], [-67.7202265, 44.020631200000004], [-67.690912, 44.016328800000004], [-67.6849226, 44.037415700000004], [-67.7142432, 44.0417184]]]"
CAR,"[117, 34]","[[[-67.6262766, 44.0287945], [-67.6322782, 44.0077083], [-67.60297990000001, 44.0033931], [-67.59697220000001, 44.024479], [-67.6262766, 44.0287945]]]"
CAR,"[120, 35]","[[[-67.5323139, 44.0368951], [-67.5383334, 44.0158232], [-67.50901999999999, 44.0114912], [-67.50299439999999, 44.0325628], [-67.5323139, 44.0368951]]]"
CAR,"[122, 35]","[[[-67.4736845, 44.0282268], [-67.4797162, 44.007155499999996], [-67.4504108, 44.002814599999994], [-67.4443731, 44.02388549999999], [-67.4736845, 44.0282268]]]"
CAR,"[126, 36]","[[[-67.350396, 44.03191], [-67.3564563, 44.0108371], [-67.32716090000001, 44.0064779], [-67.32109460000001, 44.0275505], [-67.350396, 44.03191]]]"
